,Mean,StdErr,DownCI,UpCI,Network,Zir,SampleSize,Method
0,0.023436445,0.001793111,0.019922012,0.026950878,ER,zir35,n50,PCC
1,0.021337037,0.001520734,0.018356453,0.024317621,ER,zir35,n100,PCC
2,0.018441267,0.001513253,0.015475345,0.021407189,ER,zir35,n500,PCC
3,0.019945197,0.001624424,0.016761384,0.02312901,WS,zir35,n50,PCC
4,0.022949419,0.001925489,0.01917553,0.026723307,WS,zir35,n100,PCC
5,0.025528611,0.001723503,0.022150607,0.028906615,WS,zir35,n500,PCC
6,0.019750007,0.001601431,0.016611261,0.022888753,BA,zir35,n50,PCC
7,0.020553072,0.001823788,0.016978513,0.02412763,BA,zir35,n100,PCC
8,0.020061204,0.001462215,0.017195316,0.022927092,BA,zir35,n500,PCC
9,0.024544037,0.00169306,0.021225701,0.027862373,ER,zir50,n50,PCC
10,0.019870683,0.001666429,0.016604541,0.023136825,ER,zir50,n100,PCC
11,0.022840681,0.001572079,0.019759463,0.025921899,ER,zir50,n500,PCC
12,0.022719655,0.001578995,0.019624882,0.025814428,WS,zir50,n50,PCC
13,0.022772113,0.001624368,0.01958841,0.025955816,WS,zir50,n100,PCC
14,0.022882746,0.00175959,0.019434014,0.026331479,WS,zir50,n500,PCC
15,0.021080156,0.001911683,0.017333327,0.024826986,BA,zir50,n50,PCC
16,0.025055901,0.001857614,0.021415045,0.028696757,BA,zir50,n100,PCC
17,0.024646565,0.001693998,0.02132639,0.02796674,BA,zir50,n500,PCC
18,0.021851111,0.001582966,0.018748555,0.024953668,ER,zir35,n50,SCC
19,0.021371966,0.001520018,0.018392785,0.024351146,ER,zir35,n100,SCC
20,0.021651669,0.001525493,0.018661757,0.02464158,ER,zir35,n500,SCC
21,0.019548344,0.001472624,0.016662053,0.022434634,WS,zir35,n50,SCC
22,0.022657293,0.001544355,0.019630412,0.025684174,WS,zir35,n100,SCC
23,0.026133552,0.001941042,0.02232918,0.029937925,WS,zir35,n500,SCC
24,0.019170299,0.001594954,0.016044247,0.022296352,BA,zir35,n50,SCC
25,0.023000762,0.00179634,0.01948,0.026521524,BA,zir35,n100,SCC
26,0.02546158,0.001988177,0.021564824,0.029358336,BA,zir35,n500,SCC
27,0.019034175,0.001605769,0.015886925,0.022181424,ER,zir50,n50,SCC
28,0.021314944,0.001448804,0.01847534,0.024154549,ER,zir50,n100,SCC
29,0.024187833,0.001753115,0.020751791,0.027623874,ER,zir50,n500,SCC
30,0.021883679,0.001805202,0.018345548,0.02542181,WS,zir50,n50,SCC
31,0.022696105,0.001624144,0.019512842,0.025879369,WS,zir50,n100,SCC
32,0.025731455,0.001893418,0.022020425,0.029442485,WS,zir50,n500,SCC
33,0.021520463,0.001439555,0.018698988,0.024341939,BA,zir50,n50,SCC
34,0.023151745,0.001661198,0.019895856,0.026407634,BA,zir50,n100,SCC
35,0.020457612,0.001728002,0.017070791,0.023844433,BA,zir50,n500,SCC
36,0.023944046,0.001863967,0.020290738,0.027597354,ER,zir35,n50,SparCC
37,0.020663594,0.001609751,0.01750854,0.023818649,ER,zir35,n100,SparCC
38,0.020043861,0.001708021,0.016696201,0.023391521,ER,zir35,n500,SparCC
39,0.020571008,0.001613179,0.017409235,0.023732781,WS,zir35,n50,SparCC
40,0.017863845,0.001380243,0.015158619,0.020569072,WS,zir35,n100,SparCC
41,0.0245042,0.001776077,0.021023153,0.027985246,WS,zir35,n500,SparCC
42,0.022814431,0.001644645,0.019590987,0.026037875,BA,zir35,n50,SparCC
43,0.02220672,0.001915649,0.018452118,0.025961323,BA,zir35,n100,SparCC
44,0.022831079,0.001699394,0.019500327,0.02616183,BA,zir35,n500,SparCC
45,0.020928007,0.001536193,0.017917124,0.023938889,ER,zir50,n50,SparCC
46,0.02456352,0.001775592,0.021083425,0.028043616,ER,zir50,n100,SparCC
47,0.023033453,0.001493926,0.020105412,0.025961494,ER,zir50,n500,SparCC
48,0.022888001,0.001636399,0.019680717,0.026095284,WS,zir50,n50,SparCC
49,0.021883569,0.001847862,0.018261827,0.025505311,WS,zir50,n100,SparCC
50,0.024508287,0.001951784,0.02068286,0.028333713,WS,zir50,n500,SparCC
51,0.022717475,0.001871689,0.019049032,0.026385918,BA,zir50,n50,SparCC
52,0.024356618,0.0017676,0.020892187,0.02782105,BA,zir50,n100,SparCC
53,0.022965012,0.001660985,0.019709542,0.026220482,BA,zir50,n500,SparCC
54,0.412001054,0.023985579,0.364990184,0.459011925,ER,zir35,n50,MENA
