,Node_1,Node_2,Edge
0,Bifidobacterium,Bifidobacterium,False
1,Bifidobacterium,Collinsella,True
2,Bifidobacterium,Bacteroides,False
3,Bifidobacterium,Bacteroidales_noname,False
4,Bifidobacterium,Barnesiella,True
5,Bifidobacterium,Dysgonomonas,False
6,Bifidobacterium,Odoribacter,False
7,Bifidobacterium,Parabacteroides,False
8,Bifidobacterium,Paraprevotella,False
9,Bifidobacterium,Prevotella,False
10,Bifidobacterium,Alistipes,False
11,Bifidobacterium,Streptococcus,False
12,Bifidobacterium,Clostridium,False
13,Bifidobacterium,Clostridiales_noname,False
14,Bifidobacterium,Flavonifractor,False
15,Bifidobacterium,Eubacterium,False
16,Bifidobacterium,Anaerostipes,True
17,Bifidobacterium,Blautia,True
18,Bifidobacterium,Butyrivibrio,True
19,Bifidobacterium,Cellulosilyticum,False
20,Bifidobacterium,Coprococcus,False
21,Bifidobacterium,Dorea,False
22,Bifidobacterium,Lachnospiraceae_noname,False
23,Bifidobacterium,Roseburia,False
24,Bifidobacterium,Oscillibacter,True
25,Bifidobacterium,Peptostreptococcaceae_noname,False
26,Bifidobacterium,Faecalibacterium,False
27,Bifidobacterium,Ruminococcus,False
28,Bifidobacterium,Subdoligranulum,True
29,Bifidobacterium,Coprobacillus,False
30,Bifidobacterium,Erysipelotrichaceae_noname,False
31,Bifidobacterium,Acidaminococcus,True
32,Bifidobacterium,Phascolarctobacterium,False
33,Bifidobacterium,Dialister,False
34,Bifidobacterium,Megamonas,False
35,Bifidobacterium,Megasphaera,True
36,Bifidobacterium,Veillonella,False
37,Bifidobacterium,Burkholderiales_noname,False
38,Bifidobacterium,Oxalobacter,False
39,Bifidobacterium,Parasutterella,False
40,Bifidobacterium,Sutterella,False
41,Bifidobacterium,Bilophila,False
42,Bifidobacterium,Desulfovibrio,False
43,Bifidobacterium,Enterobacter,False
44,Bifidobacterium,Escherichia,False
45,Bifidobacterium,Klebsiella,False
46,Bifidobacterium,Proteus,False
47,Bifidobacterium,Haemophilus,False
48,Bifidobacterium,Akkermansia,False
49,Bifidobacterium,Podoviridae_noname,False
50,Bifidobacterium,C2likevirus,False
51,Bifidobacterium,Siphoviridae_noname,False
52,Bifidobacterium,Mastadenovirus,False
53,Collinsella,Bifidobacterium,True
54,Collinsella,Collinsella,False
55,Collinsella,Bacteroides,True
56,Collinsella,Bacteroidales_noname,False
57,Collinsella,Barnesiella,False
58,Collinsella,Dysgonomonas,False
59,Collinsella,Odoribacter,False
