,Node_1,Node_2,Edge
0,Methanobrevibacter,Propionibacteriaceae_unclassified,False
1,Methanobrevibacter,Bifidobacterium,False
2,Methanobrevibacter,Collinsella,False
3,Methanobrevibacter,Bacteroides,False
4,Methanobrevibacter,Bacteroidales_noname,False
5,Methanobrevibacter,Barnesiella,False
6,Methanobrevibacter,Coprobacter,False
7,Methanobrevibacter,Dysgonomonas,False
8,Methanobrevibacter,Odoribacter,False
9,Methanobrevibacter,Parabacteroides,False
10,Methanobrevibacter,Porphyromonas,False
11,Methanobrevibacter,Paraprevotella,False
12,Methanobrevibacter,Prevotella,False
13,Methanobrevibacter,Alistipes,False
14,Methanobrevibacter,Lactobacillus,False
15,Methanobrevibacter,Streptococcus,False
16,Methanobrevibacter,Butyricicoccus,False
17,Methanobrevibacter,Clostridium,False
18,Methanobrevibacter,Anaerococcus,False
19,Methanobrevibacter,Peptoniphilus,False
20,Methanobrevibacter,Clostridiales_noname,False
21,Methanobrevibacter,Flavonifractor,False
22,Methanobrevibacter,Eubacterium,False
23,Methanobrevibacter,Anaerostipes,False
24,Methanobrevibacter,Blautia,False
25,Methanobrevibacter,Butyrivibrio,False
26,Methanobrevibacter,Cellulosilyticum,False
27,Methanobrevibacter,Coprococcus,False
28,Methanobrevibacter,Dorea,False
29,Methanobrevibacter,Lachnospiraceae_noname,False
30,Methanobrevibacter,Roseburia,False
31,Methanobrevibacter,Oscillibacter,False
32,Methanobrevibacter,Peptostreptococcaceae_noname,False
33,Methanobrevibacter,Peptostreptococcus,False
34,Methanobrevibacter,Faecalibacterium,False
35,Methanobrevibacter,Ruminococcaceae_noname,False
36,Methanobrevibacter,Ruminococcus,False
37,Methanobrevibacter,Subdoligranulum,False
38,Methanobrevibacter,Catenibacterium,False
39,Methanobrevibacter,Coprobacillus,False
40,Methanobrevibacter,Erysipelotrichaceae_noname,False
41,Methanobrevibacter,Acidaminococcaceae_unclassified,False
42,Methanobrevibacter,Acidaminococcus,False
43,Methanobrevibacter,Phascolarctobacterium,False
44,Methanobrevibacter,Dialister,False
45,Methanobrevibacter,Megamonas,False
46,Methanobrevibacter,Megasphaera,False
47,Methanobrevibacter,Mitsuokella,False
48,Methanobrevibacter,Veillonella,False
49,Methanobrevibacter,Fusobacterium,False
50,Methanobrevibacter,Burkholderiales_noname,False
51,Methanobrevibacter,Oxalobacter,False
52,Methanobrevibacter,Parasutterella,False
53,Methanobrevibacter,Sutterella,False
54,Methanobrevibacter,Sutterellaceae_unclassified,False
55,Methanobrevibacter,Bilophila,False
56,Methanobrevibacter,Desulfovibrio,False
57,Methanobrevibacter,Enterobacter,False
58,Methanobrevibacter,Escherichia,False
59,Methanobrevibacter,Klebsiella,False
60,Methanobrevibacter,Morganella,False
61,Methanobrevibacter,Proteus,False
62,Methanobrevibacter,Raoultella,False
63,Methanobrevibacter,Aggregatibacter,False
64,Methanobrevibacter,Haemophilus,False
65,Methanobrevibacter,Pseudomonas,False
66,Methanobrevibacter,Synergistes,False
67,Methanobrevibacter,Akkermansia,False
68,Methanobrevibacter,PhiCD119likevirus,False
69,Methanobrevibacter,P22likevirus,False
70,Methanobrevibacter,Podoviridae_noname,False
71,Methanobrevibacter,C2likevirus,False
72,Methanobrevibacter,Siphoviridae_noname,False
73,Methanobrevibacter,Mastadenovirus,False
74,Propionibacteriaceae_unclassified,Bifidobacterium,False
75,Propionibacteriaceae_unclassified,Collinsella,False
76,Propionibacteriaceae_unclassified,Bacteroides,False
77,Propionibacteriaceae_unclassified,Bacteroidales_noname,False
78,Propionibacteriaceae_unclassified,Barnesiella,False
79,Propionibacteriaceae_unclassified,Coprobacter,False
80,Propionibacteriaceae_unclassified,Dysgonomonas,False
81,Propionibacteriaceae_unclassified,Odoribacter,False
82,Propionibacteriaceae_unclassified,Parabacteroides,True
83,Propionibacteriaceae_unclassified,Porphyromonas,False
84,Propionibacteriaceae_unclassified,Paraprevotella,False
85,Propionibacteriaceae_unclassified,Prevotella,False
86,Propionibacteriaceae_unclassified,Alistipes,False
87,Propionibacteriaceae_unclassified,Lactobacillus,False
88,Propionibacteriaceae_unclassified,Streptococcus,False
89,Propionibacteriaceae_unclassified,Butyricicoccus,False
90,Propionibacteriaceae_unclassified,Clostridium,True
91,Propionibacteriaceae_unclassified,Anaerococcus,False
92,Propionibacteriaceae_unclassified,Peptoniphilus,False
93,Propionibacteriaceae_unclassified,Clostridiales_noname,False
94,Propionibacteriaceae_unclassified,Flavonifractor,False
95,Propionibacteriaceae_unclassified,Eubacterium,False
96,Propionibacteriaceae_unclassified,Anaerostipes,False
97,Propionibacteriaceae_unclassified,Blautia,False
98,Propionibacteriaceae_unclassified,Butyrivibrio,False
